shopname,tags,address&tel,average,features
茶记冰室,标签:饮料冰品,地址:旺角弼街72号地下   ,¥195,特色: 燒薯牛柳粒   黃金蝦   千岛伴鬼马
桥底辣蟹(骆克道三店) 分店,标签:咖啡厅,地址:中環港景街1號國際金融中心1樓1050號舖   +852-23190389,¥227,特色: 炒蟹   避风塘炒赖尿虾   炒蚬
酒锅,标签:面包甜点,地址:佐敦白加士街47号   +852-27301356,¥1327,特色: 掛架頂級安格斯牛頸脊   走火入鍋   黑松露蝦蟹餃
龍麵館,标签:日本料理   面条,地址:铜锣湾登龙街18号V Point地下4号舖   28933190,¥293,特色: 龙虾酥两件   龙肉汤面   龙虾面
天虹海鲜酒家(索罟湾店),标签:火锅   中餐,地址:铜锣湾波斯富街99号利舞台19楼   +852-23222865,¥21,特色: 赖尿虾   焗烤龙虾   东星斑
富記海鮮酒家,标签:奶茶/果汁,地址:旺角西洋菜南街新江大樓地下三號鋪   ,¥40,特色: 椒鹽瀨尿蝦   避風塘炒蟹   芝士紫薯焗扇贝
阿一海景饭店(铜锣湾店),标签:小吃快餐,地址:佐敦庇利金街63号   +852-27302799,¥209,特色: 一哥鲍鱼酥   红酒酱炆牛尾   招牌砂锅炒饭
渔获浜烧,标签:茶餐厅   粤菜,地址:天后电器道108号地下   26183003,¥300,特色: 活貝漁獲浜燒盛合   味噌蟹甲罗烧配多士   香煎蒜片厚切牛舌
全记海鲜菜馆(海傍街店) 分店,标签:东南亚菜,地址:香港中环威灵顿街15-25号骐利大厦UG层   +852-23259117,¥90,特色: 椒盐濑尿虾   芝士龙虾   蛏子王
龙皇酒家(世贸中心店) 分店,标签:日本料理   自助餐,地址:旺角弥敦道601号创兴广场8楼   +852-36222162,¥47,特色: 乳猪   杏仁蛋白茶   杨枝甘露
甜姨姨私房甜品,标签:自助餐,地址:尖沙咀梳士巴利道18号香港洲际酒店下层   +852-23132323,¥224,特色: 榴莲豆腐花   芒果大合奏   即撞木桶豆腐花
磯野水產,标签:法国菜   西餐 米其林二星,地址:中环金融街8号香港四季酒店6楼   +852-31968860,¥40,特色: 鲍鱼滨烧   吞拿鱼脑天额浜烧   龙虾滨烧
沙嗲王(山东街店) 分店,标签:酒吧,地址:dHongKong   +852-26036992,¥40,特色: 白咖喱香茅猪扒饭   沙嗲牛肉粉絲   炒蟹
新南苑私房菜火锅鸡煲(旺角店),标签:港式小吃   小吃快餐,地址:骆克道莊士企业大厦1层临街铺面   +852-25725207,¥372,特色: 雞煲   海鲜火锅   生猛海鲜拼盘
Amber Coffee Brewery,标签:冰淇淋,地址:金紫荆广场   ,-,特色: 手冲   Amber特饮   拿铁
ÉPURE,标签:火锅,地址:油尖旺區加拿分道49号（近厚福街口）   +852-25278887,¥74,特色: 甜品   软餐包   银鳕鱼
永年士多(尖沙咀店),标签:西餐,地址:尖沙咀加连威老道40号   +852-27213559,¥67,特色: 车仔面三款配料加面   猪肠   猪红
好时沙嗲,标签:茶餐厅   粤菜,地址:中环威灵顿街160-164号   +852-25444556,¥46,特色: 海南雞飯   叻沙   沙爹鸡肉串
豊勝手丼,标签:茶餐厅   粤菜,地址:香港九龙红磡船澳街99F佳富楼地面   +852-23288277,¥65,特色: 三國雲丹丼套餐   角切丼   北海蟹丼
御满屋日本料理,标签:茶餐厅   粤菜,地址:东涌富东村富东广场2楼101号铺   +852-28112877,¥346,特色: 三文鱼刺身   牛舌   哈根达斯比利时朱古力味
酒锅(尖沙咀店),标签:粤菜   中餐,地址:铜锣湾骆克道463-483号铜锣湾广场二期3楼   +852-25739339,¥40,特色: 本地手切肥牛   掛架頂級安格斯牛頸脊   黑松露虾蟹饺
饮茶(尖沙咀店),标签:面包甜点,地址:香港中环港景街1号国际金融中心商场二期2楼2029铺   +852-28335700,¥40,特色: 睇住流奶   口水鸡   多彩虾饺
Mad for Garlic,标签:更多美食,地址:油麻地庙街36-40号永星大厦地下E铺   +852-95221809,¥1109,特色: 大蒜pizza   蒜头山牛扒   蒜香蟹肉龍蝦意粉
不倒翁中日火锅料理(铜锣湾店) 分店,标签:港式小吃   小吃快餐,地址:油麻地东方街9号地铺   27706099,¥116,特色: 雪花肥牛   手切牛肉（大份）   大虾水饺
糖朝(尖沙咀店),标签:川菜   中餐,地址:尖沙咀厚福街9号地下J1号铺   +852-23940211,¥275,特色: 糖朝一品粥   虾饺   豆腐花
大冒险家餐厅,标签:粤菜   中餐,地址:太子弥敦道749号欧亚银行大厦1-2楼   23815261,¥66,特色: 印尼炒饭   人参鸡套餐   海南鸡饭套餐
信得过,标签:粤菜   中餐,地址:深井深康路9号地铺   +852-24910105,¥11,特色: 杏仁白肺汤   正宗黄沙乳猪润   花胶猪肺汤
增辉艺厨,标签:自助餐,地址:尖沙咀金巴利道26号1楼（The One商场对面）   +852-36223000,¥90,特色: 鬼马油条   胡椒花甲猪肚汤   花枝皮蛋
桥底辣蟹(骆克道二店) 分店,标签:粤菜   中餐 米其林一星,地址:中环干诺道中5号香港文华东方酒店25楼   +852-28254003,¥189,特色: 桥底辣蟹   椒盐濑尿虾   避风塘炒蟹
新南苑私房菜火锅鸡煲(湾仔店),标签:小吃快餐,地址:旺角太子弼街47号地下   +852-23926830,¥40,特色: 生猛海鲜拼盘   招牌鬼马鸡煲   南瓜蓉造型百变冰公仔
唐人馆(海港城店) 分店,标签:日本料理,地址:尖沙咀乐道32-34号1楼   +852-23680888,¥78,特色: 杨枝甘露   陈年花雕话梅虾   杏汁猪肺汤
满屋日本料理(铜锣湾广场店),标签:粤菜   中餐 米其林一星,地址:尖沙咀么地道63号好时中心地库2层（近漆咸道）   +852-27221636,¥17,特色: 三文鱼刺身   甜虾刺身   烤牛舌
響日本燒肉,标签:港式小吃   小吃快餐,地址:中环美轮街2号排档   25448368,¥68,特色: 澳洲和牛盛合   牛舌   海鲜拼盘
皇室宴会厅,标签:小吃快餐,地址:中环威灵顿街98号地铺   +852-28506471,¥69,特色: 皇室杂扒套   皇室牛排   皇室焗猪扒
Burgeroom(尖沙咀店),标签:中餐,地址:湾仔轩尼诗道265-267号地C座   +852-25196639,¥43,特色: 鹅肝牛肉汉堡   牛油果酱芝士薯条   大蘑菇芝士牛肉汉堡
香港海賊王餐廳,标签:火锅,地址:旺角登打士街43H號登打士廣場3樓   +852-25278383,¥334,特色: 草帽日式咖喱饭   喬巴強化可樂餅   草帽小子蛋糕
大红袍火锅料理(太子店),标签:茶餐厅   粤菜,地址:中西区上环信德中心澳门广场3楼3018室   +852-28046666,¥157,特色: 大红袍牛王拼盘   炸鱼皮   极上牛肉刺身
喜记避风塘炒辣蟹(銅鑼灣店),标签:小吃快餐,地址:尖沙咀乐道23号A   +852-26972801,¥78,特色: 喜记正宗炒辣蟹   蒜蓉粉丝蒸扇贝   椒盐濑尿虾
沙嗲王(现时点店),标签:港式小吃   小吃快餐,地址:尖沙咀弥敦道178号地下   ,¥148,特色: 白咖喱香茅猪扒饭   避风塘软壳蟹   沙爹肥牛拉面
不倒翁中日火锅料理 分店,标签:茶餐厅   粤菜,地址:銅鑼灣白沙道1-3號地下   +852-28861683,¥35,特色: 雪花牛   象拔蚌   手打丸子
Stanley Cave,标签:中餐   粤菜,地址:九龍長沙灣青山道368號   28818786,¥32,特色: 全日英式早餐   班尼迪克蛋   白汁雞肉蘑菇意粉
ROJO Tapas Bar & Restaurant,标签:饮料冰品,地址:銅鑼灣渣甸街36號3號舖   +852-26141717,¥224,特色: 西班牙海鲜饭   BB猪肋骨   蒜片虾辣意大利粉
滾得囍宮廷火鍋小炒,标签:酒吧,地址:兰桂坊酒吧街   ,¥40,特色: 即炸黄金响铃   鹿儿岛日本黑豚肉   牛肉宫廷拼盘
駒記海鮮大排檔,标签:面包甜点,地址:黄大仙银凤街16号地下   +852-23266603,¥51,特色: 濑尿虾   避风塘炒蟹   潮州卤水拼盘
PAPI意大利餐厅(铜锣湾店),标签:自助餐,地址:香港大屿山香港迪士尼乐园酒店   +852-35106000,-,特色: 香草法國蝸牛配白菌   黑松露藍芝士薄餅   香煎蟹餅配紅椒蜜糖
香港珍宝海鲜舫,标签:东南亚菜,地址:九龙城九龙城南角道21-23号地铺   23820992,¥559,特色: 避风塘炒蟹   炸蟹钳球   鳳爪
BRICK LANE,标签:面包甜点   甜品,地址:旺角豉油街25-31號地下3號舖   +852-35800819,¥2177,特色: 南瓜汤   Benedict   英式炸鱼薯条
周师傅点心,标签:茶餐厅   粤菜,地址:湾仔轩尼诗道338号北海中心2楼   +852-83008121,¥1383,特色: 脆皮马拉糕   咖啡糕   非油炸脆脆蝦多士
御前大江户日式料理,标签:茶餐厅   粤菜,地址:上环禧利街23号地下   25459026,¥188,特色: 豪华矶烧海鲜拼盘   刺身拼盘   味噌蟹盖
太湖海鲜城(尖沙咀店) 分店,标签:日本料理,地址:尖沙咀家连威老道希尔顿大厦1楼3号铺   +852-27233868,¥69,特色: 上汤芝士焗龙虾   活鱼姜米炒饭   燒鵝
大红袍火锅料理(荃湾店),标签:茶餐厅   粤菜,地址:旺角弥敦道625及639号雅兰中心3楼3B号铺   +852-83008168,¥47,特色: 芝士丸   蟹子墨魚滑   花膠雞腳燉原只雞湯
凤城酒家(红磡店) 分店,标签:小吃快餐,地址:电气道126号荣华大厦地下   +852-25373733,¥120,特色: 凤城水饺   蜜汁叉燒酥   皮蛋瘦肉粥
BRICK LANE Gallery(尖沙咀店),标签:粤菜   中餐,地址:尖沙咀弥敦道180号宝华商业大厦1字楼   +852-27220022,¥40,特色: 苏格兰烟鲑鱼班尼廸蛋   烤蝦帶子嫩菠菜沙律   英式特大全日早餐
青花,标签:港式小吃   小吃快餐,地址:中环皇后大道中176号B   +852-25438414,¥21,特色: 芒果糯米飯   泰式奶茶奶冻   特色饮品
牛氣,标签:饮料冰品   小吃快餐,地址:西环石塘咀山道31-37号地下A铺   +852-64713339,¥316,特色: 美国和牛   大虾   三文鱼
BRICK LANE(铜锣湾店),标签:火锅,地址:土瓜湾落山道86号地下巷内   23650112,¥99,特色: 红虾扁意粉   苏格兰烟鲑鱼班尼廸蛋   SeasonalBerries鲜莓铁锅班㦸
沙嗲王(旺角奶路臣街店),标签:火锅,地址:佐敦吴松街149号   +852-21997933,¥129,特色: 白咖喱香茅猪扒饭   日式蟹粉豆腐锅配饭   沙嗲铁板猪扒饭
Spark Bar & Restaurant,标签:面包甜点   甜品,地址:銅鑼灣耀華街3號百樂中心18樓1802-3店   34279828,¥364,特色: 松露多士配猪面及芝士   Tiramisu   牛肉眼扒伴烤牛骨髓
旺囍車仔麵,标签:小吃快餐,地址:深水埗福荣街121号地下   +852-90595104,¥38,特色: 猪大肠   猪软骨   十全十美富贵面
珍宝王国,标签:茶餐厅   粤菜,地址:佐敦弥敦道378号弥敦酒店2楼   +852-83008163,¥956,特色: 澳洲龙虾   虾饺   浓汁鲍鱼
Hang O Pho 宿宿醉,标签:酒吧,地址:大埔旧墟直街28号荣丽苑地下B号铺   26646128,¥298,特色: 法式火車頭金邊粉   芒果軟殼蟹米紙卷   香茅牛油蒜香鸡翼
ATUM Restaurant,标签:茶餐厅   粤菜,地址:九龙尖沙咀金马伦道38-40号金龙中心地下（港铁尖沙咀站B2出口）   35655963,¥145,特色: 咸蛋黄冰淇淋   八爪魚意大利飯   下午茶套餐
宮保,标签:更多美食,地址:大角咀博文街8号地铺   +852-26703303,¥238,特色: 沙煲田雞粥   薏米水   招牌黑胡椒蟹
炊公馆(铜锣湾店),标签:茶餐厅   粤菜,地址:深水埗桂林街38号A地下   +852-23862748,¥169,特色: mojito   雪山海鮮拼盤   笼点心拼盆
上品火锅料理(天后店) 分店,标签:日本料理   自助餐,地址:荃灣眾安街55號大鴻輝中心10樓全層   +852-36221388,¥40,特色: 雪花牛肉   澳洲龍蝦加拿大象拔蚌   芝士虾丸
禾牛荟火煱馆(九龙城店) 分店,标签:西餐,地址:中环遮打道10号太子大厦25楼   25371388,¥24,特色: 带子云吞   金钱腱   刺身拼盘
饺腩店,标签:粤菜   中餐,地址:尖沙咀弥敦道20号香港喜来登酒店2楼   +852-23691111,¥188,特色: 招牌汤/煎饺子   清汤牛腩河   缘份牛坑腩
锅处雪舟,标签:茶餐厅   粤菜,地址:尖沙咀亚士厘道29-39号九龙中心大厦   +852-27118898,¥339,特色: 北海道毛蟹   刺身   深海池鱼
花园餐厅(亞士厘道店) 分店,标签:西班牙菜   西餐,地址:尖沙咀厚福街8号 H8 地铺（尖沙咀H8）   +852-23888160,¥317,特色: 牛排   罗宋汤   奶茶
OM Tapas,标签:火锅,地址:香港旺角西洋菜街1號兆萬中心3樓301號舖   +852-21512838,¥509,特色: 海胆北海道带子脆包   西班牙海鲜饭   伊比利亚猪面颊夹包
霸吗拉面(铜锣湾店) 分店,标签:小吃快餐,地址:油麻地鸦打街22号   ,¥465,特色: 炙烧豚肉味玉拉面   羽根烧饺子   辣汁唐扬炸鸡
饮茶(中环店),标签:粤菜   中餐 米其林一星,地址:铜锣湾告士打道255-257号信和广场1楼   +852-28698282,¥137,特色: 流心奶黄包   睇住流奶   吉川奶子
酔胡炉(尖沙咀店),标签:茶餐厅   粤菜,地址:油麻地碧街41-49号地下及一楼   +852-27718080,¥164,特色: 醉胡炉四格锅   火焰龍蝦海鮮鍋   黄金炸鱼皮
状元楼,标签:小吃快餐,地址:佐敦西贡街11号   27714285,¥957,特色: 状元鸡煲翅   状元楼老火汤   虾饺皇
尚鲜火锅海鲜料理(佐敦店),标签:粤菜   海鲜 米其林二星,地址:尖沙咀弥敦道132号美丽华商场食四方4楼4D号铺   +852-21521417,¥156,特色: 手切安格斯牛   海鮮   金沙牛丸
广场饭店,标签:港式小吃   小吃快餐,地址:大角咀埃华街92号   21809655,¥130,特色: 瑶柱炒饭   笋尖鲜虾饺   叉烧
饮茶(旺角),标签:粤菜   中餐,地址:尖沙咀柯士甸道西1号环球贸易广场(ICC)101楼   25689886,¥48,特色: 睇住流奶   流沙包   虾饺
La Mer Restaurant & Lounge,标签:日本料理,地址:尖沙咀天文臺圍8號地下   +852-23162288,¥199,特色: 法式洋葱汤   A5和牛冷盘   冰凉青柠杯
Y Pasta,标签:粤菜   中餐 米其林一星,地址:中环士丹利街34-38号地铺   +852-25243882,¥145,特色: 提拉米苏   威灵顿三文鱼配柠檬刁草汁   意式奶冻
豫园,标签:港式小吃   小吃快餐,地址:旺角通菜街147號   +852-93399558,¥39,特色: 蟹籽烧卖   红烧牛肋骨   焗蟹蓋
火箭餐厅,标签:日本料理   火锅,地址:温野菜 （尖沙咀） 尖沙咀廣東道17號海港城海運大廈LCX 3樓37A號舖   21531801,¥40,特色: 炸鸡套餐   薯条   双层芝士牛肉汉堡包套餐
囍记车仔面,标签:茶餐厅   粤菜,地址:沙田沙田正街21-27号沙田广场3楼50号铺   +852-26019292,¥31,特色: 四宝车仔面   冰鸳鸯奶茶   招牌四宝粉
花园餐厅(佐敦店),标签:日本料理   面条,地址:中环威灵顿街69号地下   +852-28933190,¥44,特色: 鵝油撈麵   鹽焗手撕雞飯   例湯
炯記餐室,标签:西班牙菜   西餐,地址:佐敦柯士甸道7号UQ Place 4楼   +852-39740822,¥61,特色: 尚鲜四色丸尚盛   蟹皇饺   特尚手切牛
尚鲜火锅海鲜料理(铜锣湾店),标签:粤菜   中餐,地址:荃湾杨屋道1号荃新天地1楼107号铺   29410092,¥322,特色: 重慶麻辣火鍋   自家出品的芝麻油   毛肚
涨格重庆麻辣老火锅,标签:日本料理,地址:香港湾仔谭臣道3号地下   +852-28661618,¥211,特色: 和牛   牛肉   飞驒牛
铁板烧雪舟,标签:法国菜   西餐,地址:尖沙咀廣東道3-27號海港城海洋中心4樓403號舖   ,¥246,特色: 冰烧肉   桂花糕   鱼米之香
龙皇酒家(开源道店) 分店,标签:港式小吃   小吃快餐,地址:旺角花园街135号地下   +852-23941727,¥40,特色: 哥招牌炒饭   燕窝酿鸡翼   豉汁蒸龙趸腩
名人坊高级粤菜,标签:粤菜   中餐,地址:旺角通菜街1A-1L威达商业大厦1楼B室   +852-26851618,¥33,特色: 有机蘑菇奶油汤   澳洲草饲嫩肩肉扒   慢煮牛小排配凤尾虾
EasyChef W+ Cooking Studio,标签:西班牙菜   西餐,地址:尖沙咀柯士甸道西1号环球贸易广场(ICC)香港丽思卡尔顿酒店118楼   +852-22632270,¥547,特色: 雞中翅   蘿蔔   车仔面三款配料加面
永年士多(元朗店),标签:中餐,地址:香港侯王道85-87号地下   23821788,¥174,特色: 麻辣香锅   紅糖糍粑   霸王辣子鸡
十二味麻辣小当家(铜锣湾店),标签:日本料理,地址:海港城海运大厦地下G04号铺   +852-21159956,¥139,特色: 本地大刀手切鮮牛肉   花胶汤底   十下三宝滑
十下,标签:茶餐厅   粤菜,地址:尖沙咀缅甸台3号恒星楼地下   +852-83008084,¥48,特色: 杨枝甘露   芒果班戟   榴莲班戟
满记甜品(西贡总店) 分店,标签:日本料理,地址:尖沙咀海港城海运大厦3楼OTE 304号铺   +852-27019881,¥548,特色: 海拼盘   牛肉拼盘   象拔蚌刺身
上品火锅料理(宇宙商业大厦店) 分店,标签:火锅,地址:铜锣湾谢斐道408-412号华斐商业大厦1至3字楼   28386116,¥116,特色: 流沙包   招牌吊烧鸡   蛋散
凤城酒家(礼顿道店) 分店,标签:粤菜   中餐 米其林一星,地址:湾仔庄士敦道35-45号利文楼地下3号铺   28660663,¥161,特色: 炸鸡腿   炸鸡全翅
三多炸脾(旺角山東街店),标签:饮料冰品,地址:铜锣湾波斯富街87号地下   25761001,¥231,特色: 街坊碗仔翅   街坊小食拼盤   波士顿龙虾芝士龙虾汁意大利饭
街坊Cafe,标签:西餐,地址:香港九龙尖沙咀广东道33号中港城三座平台1A铺    +852-23828234,¥45,特色: 乐园三宝饭套餐   葱油海鲜汤面套餐   鲜榨西瓜汁
笑匠欢宴坊,标签:粤菜   中餐,地址:中环阁麟街30号地铺   +852-25431032,¥41,特色: 牛腩心   牛金花趾   牛朴肉
616牛肉火鍋專門店(西環店),标签:中餐,"地址:中环干诺道中41号盈置大厦地下G05,107及108号铺   +852-28016882",¥64,特色: 西冷牛排   午市套餐   肉眼牛扒餐
花园餐厅(山东街店) 分店,标签:韩国料理   日本料理,地址:旺角彌敦道726號17樓   +852-37059965,¥46,特色: 香草牛油廣島蠔   香葱薄切牛舌   意大利香草汁鸡腿肉
金金日式燒肉店,标签:茶餐厅   粤菜,地址:香港特別行政區灣仔區霎东街5号地下   +852-22064448,-,特色: 黄金炸薯条   北海道帆立貝意大利飯   双重芝士脆薄饼
Villa Villa Cafe & Bar,标签:茶餐厅   粤菜,地址:旺角新填地街427-427A号   +852-23816161,¥11,特色: 睇住流奶   流口水鸡   明太子肠粉
饮茶(铜锣湾),标签:面包甜点,地址:轩尼诗道500号希慎广场B2层Jasons‧Food & Living内   27953168,¥31,特色: 厚烧牛舌   三川雜錦魚生（並）   蟹膏蟹肉炒飯
三川居酒屋,标签:面包甜点,地址:尖沙咀么地道69号帝苑酒店大堂   +852-27332045,¥450,特色: 焰烧豚肉玉拉面   羽根烧饺子   鸡叉烧味玉鸡白汤拉面
霸吗拉面(中环店) 分店,标签:粤菜   中餐,地址:尖沙咀广东道17号海港城港威商场G103铺   +852-21753100,¥557,特色: 杨枝甘露   榴莲班戟   椰汁西米露凉粉
满记甜品(希慎广场店) 分店,标签:日本料理   面条,地址:尖沙咀棉登径28号锦荣商业大厦地下   +852-31891200,¥83,特色: 牛百叶   牛杂   厚海带
